produto;fornecedor;produto_nome;categoria;sub_categoria
E,)+OO1?Y#U)MWN47F^6W/;Fornecedor 11;Produto 895;Categoria 1;Subcategoria C1.1
HKP@$7&8#JLS%G_PT0[75#;Fornecedor 11;Produto 896;Categoria 1;Subcategoria C1.1
"G%WXQ_=SMPVR-B(""Z3B7/.";Fornecedor 159;Produto 897;Categoria 1;Subcategoria C1.1
"G%OF9^/\Z*MR-T;FMSY&>0";Fornecedor 159;Produto 898;Categoria 1;Subcategoria C1.1
H9C'&OO?=K'%C)<P'%QCX0;Fornecedor 13;Produto 899;Categoria 1;Subcategoria C1.1
N/$P*+=FY:+_'OB*VNHV=-;Fornecedor 5;Produto 900;Categoria 1;Subcategoria C1.1
HWV6LT[N`I7EN.I&UO&[B);Fornecedor 13;Produto 901;Categoria 1;Subcategoria C1.1
"G-YL""+YW!WCR[BPTD]%Q`%";Fornecedor 13;Produto 902;Categoria 1;Subcategoria C1.1
"O+9@&P)#^:@H/!&W</""C"")";Fornecedor 160;Produto 903;Categoria 1;Subcategoria C1.1
O7D`7B``.J-HXN>YSZX66-;Fornecedor 16;Produto 904;Categoria 1;Subcategoria C1.1
"H)OR20E+$\S%'$Q]1U""\)+";Fornecedor 161;Produto 905;Categoria 1;Subcategoria C1.1
H)7K'!+L4*A%'J0(06-/M);Fornecedor 10;Produto 906;Categoria 1;Subcategoria C1.1
HG:G_.K&IKJE23$GD`1E^!;Fornecedor 4;Produto 907;Categoria 1;Subcategoria C1.1
O/*6^2[6BR#HF)GA@#2=D&;Fornecedor 7;Produto 908;Categoria 1;Subcategoria C1.1
"O/2H64).58-HF;Z%4CI,S(";Fornecedor 7;Produto 909;Categoria 1;Subcategoria C1.1
OQ.L>&IS`V#(R$NDH-NB$!;Fornecedor 7;Produto 910;Categoria 1;Subcategoria C1.1
EZ4LHMW]\7T<NT\*&,_G$*;Fornecedor 161;Produto 911;Categoria 1;Subcategoria C1.1
"ED+CKT4J@%;\0N>ELIQU%/";Fornecedor 159;Produto 912;Categoria 1;Subcategoria C1.1
MKNQGH,6()EA6PGB-!QB2%;Fornecedor 24;Produto 913;Categoria 5;Subcategoria C5.1
"JX/^?U!*J4];`^MD$LQ)4(";Fornecedor 23;Produto 914;Categoria 2;Subcategoria C2.2
J63I5XQJG'Z[+<BN<4AY>#;Fornecedor 23;Produto 915;Categoria 2;Subcategoria C2.2
MO?G?+^IL@(AM<O5XTO[1';Fornecedor 24;Produto 916;Categoria 5;Subcategoria C5.1
MO_O`0V&XWNAM4B$JU1>-#;Fornecedor 31;Produto 917;Categoria 5;Subcategoria C5.1
"M1,'WZ!ARSK!=LK;,.3FI(";Fornecedor 31;Produto 918;Categoria 5;Subcategoria C5.1
M1\S(#6LC6E!=(%3E.D',$;Fornecedor 31;Produto 919;Categoria 5;Subcategoria C5.1
M1<\I(.)OM+!=`W!7/&*^$;Fornecedor 31;Produto 920;Categoria 5;Subcategoria C5.1
MWQ0CDE6]@5A_?YF[-#KB(;Fornecedor 21;Produto 921;Categoria 5;Subcategoria C5.1
M5E7HDY(5(_!T&@J#BZOC#;Fornecedor 21;Produto 922;Categoria 5;Subcategoria C5.1
"M5=%0CK1BBU!T0F]H""T!N!";Fornecedor 21;Produto 923;Categoria 5;Subcategoria C5.1
"JT.DW/T'@Q&;7'//(@!$V%";Fornecedor 23;Produto 924;Categoria 2;Subcategoria C2.2
"J\@KV2[`""5Z;IJ-E$V,)B""";Fornecedor 26;Produto 925;Categoria 2;Subcategoria C2.2
"M-KUO:L[SG;!BUTXZK&Z\-";Fornecedor 31;Produto 926;Categoria 5;Subcategoria C5.1
"J:44`HOF(9][T#GA\A5DJ""";Fornecedor 32;Produto 927;Categoria 2;Subcategoria C2.2
"JHS.S/QA2HY;<Z2$5;F_N$";Fornecedor 32;Produto 928;Categoria 2;Subcategoria C2.2
"J\<0&`ZON!0;?I@H13&9""""";Fornecedor 23;Produto 929;Categoria 2;Subcategoria C2.2
M],6-MO`P+P_O^_`^:)E?(;Fornecedor 80;Produto 930;Categoria 1;Subcategoria C1.1
"M#:)!1J""8WX?%N&%T^?\0.";Fornecedor 91;Produto 931;Categoria 1;Subcategoria C1.1
"M#""3X,`<_%<?%D`Q.>FJ&0";Fornecedor 91;Produto 932;Categoria 1;Subcategoria C1.1
M#Z`?+RE,@2?%FYSE_!?,*;Fornecedor 91;Produto 933;Categoria 1;Subcategoria C1.1
M#2(K:,%\_[?%0T+$=SF[.;Fornecedor 91;Produto 934;Categoria 1;Subcategoria C1.1
"CM8`!T=DSSSJD;YVD*%R=)";Fornecedor 5;Produto 935;Categoria 1;Subcategoria C1.1
J=AEGR>-G1:O8$R4Q*MUM.;Fornecedor 111;Produto 936;Categoria 8;Subcategoria C8.3
J=IW_SL$:WCO8.XG6KF'X,;Fornecedor 111;Produto 937;Categoria 8;Subcategoria C8.3
"J)#NR8?#-Y[J/E#7=S&J"")";Fornecedor 139;Produto 938;Categoria 1;Subcategoria C1.1
"N@3>*JU!>EA(<(N$!B="">*";Fornecedor 91;Produto 939;Categoria 1;Subcategoria C1.1
"J1]@MM<*%(LJANAW7J<B;/";Fornecedor 5;Produto 940;Categoria 1;Subcategoria C1.1
"J1EJDIRDL6/JAD;DR)C01!";Fornecedor 5;Produto 941;Categoria 1;Subcategoria C1.1
ND4XR/#$H(8(%DSBDM\F9!;Fornecedor 123;Produto 942;Categoria 1;Subcategoria C1.1
J3!7>?+98J^*.4V!=BKD6%;Fornecedor 139;Produto 943;Categoria 1;Subcategoria C1.1
ND,F:.U,U0E(%V&'8-4VQ.;Fornecedor 123;Produto 944;Categoria 1;Subcategoria C1.1
N&IR#&-/L8KHY4@Y1BM]D*;Fornecedor 123;Produto 945;Categoria 1;Subcategoria C1.1
"N&)JB`4R@O;HY,3H#C/`6+";Fornecedor 123;Produto 946;Categoria 1;Subcategoria C1.1
"AX""G1B&LUO%4M'B^@3ES#$";Fornecedor 123;Produto 947;Categoria 1;Subcategoria C1.1
"AX2<$P24R[.4MS5862ROX""";Fornecedor 123;Produto 948;Categoria 1;Subcategoria C1.1
JKDS:5)-W<A!P\3^]P9D?$;Fornecedor 91;Produto 949;Categoria 1;Subcategoria C1.1
J-IXX]&P^R4ADQR89H!DC+;Fornecedor 91;Produto 950;Categoria 1;Subcategoria C1.1
"M@TT:#F1JNW+""ZP*;IJ@10";Fornecedor 123;Produto 951;Categoria 1;Subcategoria C1.1
J/U`!Q#V$-:!1%T^J`XV//;Fornecedor 91;Produto 952;Categoria 1;Subcategoria C1.1
"M@$()[1&Y+^+""6*""TI[AJ0";Fornecedor 5;Produto 953;Categoria 1;Subcategoria C1.1
M(._$1LM+6]+,<=G4C-#!#;Fornecedor 80;Produto 954;Categoria 1;Subcategoria C1.1
M(VJ`BB[@!Z+,BQV+!0L2#;Fornecedor 80;Produto 955;Categoria 1;Subcategoria C1.1
"GRC)<CJ';H!,KM/7;QA!""#";Fornecedor 5;Produto 956;Categoria 1;Subcategoria C1.1
"JGS;><W%EHD!'M-U6G/&A/";Fornecedor 91;Produto 957;Categoria 1;Subcategoria C1.1
"JGCWM9;7_<1!'1T]]F^$(/";Fornecedor 91;Produto 958;Categoria 1;Subcategoria C1.1
"KTF;GW&24-HH.ALV\?C._&";Fornecedor 162;Produto 959;Categoria 1;Subcategoria C1.1
NMW'26A2HP!?3\\QQ8<+6%;Fornecedor 91;Produto 960;Categoria 1;Subcategoria C1.1
K2B6)/)O,WT(:L-<AH[.[/;Fornecedor 91;Produto 961;Categoria 1;Subcategoria C1.1
H[-NFB.4DR1@3:JO%SVP<!;Fornecedor 5;Produto 962;Categoria 1;Subcategoria C1.1
"D^T!F:P9F;.^>SVLGG38?+";Fornecedor 163;Produto 963;Categoria 1;Subcategoria C1.1
D@Y7&.>V$@.>3XOI?=WRU%;Fornecedor 163;Produto 964;Categoria 1;Subcategoria C1.1
D@!J>/LMW%8>3F<%L]?#G#;Fornecedor 163;Produto 965;Categoria 1;Subcategoria C1.1
IFY+OLCFP/N>2TE(5!`JN.;Fornecedor 164;Produto 966;Categoria 1;Subcategoria C1.1
"E(?^]E""O$4T)*@+>`T:QD)";Fornecedor 7;Produto 967;Categoria 1;Subcategoria C1.1
E(/:-CF`>(A)*\D59UKR]);Fornecedor 7;Produto 968;Categoria 1;Subcategoria C1.1
IN3V(\H0='X>DUV7!YWEY%;Fornecedor 164;Produto 969;Categoria 1;Subcategoria C1.1
OA.[+2FNALB3SJ9?+U)T(#;Fornecedor 165;Produto 970;Categoria 1;Subcategoria C1.1
"O""*)OOG<)>^]8:)5.SEF60";Fornecedor 156;Produto 971;Categoria 1;Subcategoria C1.1
"C>.9:K;85(51LDI^Y:&!S.";Fornecedor 19;Produto 972;Categoria 1;Subcategoria C1.1
EU3K[HRW8S4IBV\6@.V_T+;Fornecedor 166;Produto 973;Categoria 1;Subcategoria C1.1
"L!?RJ!(R(#;U+P(X:PMC^""";Fornecedor 88;Produto 974;Categoria 1;Subcategoria C1.1
"C""WM,6P@2&.1-7$7%(7;2.";Fornecedor 19;Produto 975;Categoria 1;Subcategoria C1.1
"C""O]XJ""=-/'1-YQ=5FJ%].";Fornecedor 19;Produto 976;Categoria 1;Subcategoria C1.1
B24KH/Y[JVJ47Y57$?\?6+;Fornecedor 80;Produto 977;Categoria 1;Subcategoria C1.1
B2$'X,=-%K747=\?K>K^S/;Fornecedor 80;Produto 978;Categoria 1;Subcategoria C1.1
"B2<L^%7Y&NG47G""S0_D0^-";Fornecedor 80;Produto 979;Categoria 1;Subcategoria C1.1
BTH4WZ2-88QT+:H+55Q[%&;Fornecedor 80;Produto 980;Categoria 1;Subcategoria C1.1
EB9.U,'0<L]IY3NL[-M:C*;Fornecedor 8;Produto 981;Categoria 1;Subcategoria C1.1
EB!8L(=J#[@IY=T_@NFLM(;Fornecedor 72;Produto 982;Categoria 1;Subcategoria C1.1
I$]'GZ#!%QW^==9GIK$!`&;Fornecedor 164;Produto 983;Categoria 1;Subcategoria C1.1
"BP\&\1#'0`)]AWFY(""'_)$";Fornecedor 87;Produto 984;Categoria 1;Subcategoria C1.1
"ED$""X^-:%Z%27)CZ*F,GL#";Fornecedor 13;Produto 985;Categoria 1;Subcategoria C1.1
"E@H'K-J(,_D):>'`_#)8#""";Fornecedor 13;Produto 986;Categoria 1;Subcategoria C1.1
E*:TL$%TE^,RTU@JBIDL.-;Fornecedor 139;Produto 987;Categoria 1;Subcategoria C1.1
EDA^XFY9,.%)#\%@ZP#Q$#;Fornecedor 13;Produto 988;Categoria 1;Subcategoria C1.1
"ED1:(D=KF""R)#02&%RV49/";Fornecedor 13;Produto 989;Categoria 1;Subcategoria C1.1
"EH""R$=ORXVN)L?8/L[`R7$";Fornecedor 13;Produto 990;Categoria 1;Subcategoria C1.1
K?(O/>GLJ<F'89D@0,$,A$;Fornecedor 19;Produto 991;Categoria 1;Subcategoria C1.1
JR_MVR77Z0I[BWJD=O$YP0;Fornecedor 27;Produto 992;Categoria 2;Subcategoria C2.2
"N%O/%BX>T(MHM""R9R*&*R&";Fornecedor 156;Produto 993;Categoria 1;Subcategoria C1.1
KZ%05ML>HJ=18W=D1KP7I.;Fornecedor 156;Produto 994;Categoria 1;Subcategoria C1.1
"KZ-BMNZ5;0G18E*`=+9H:,";Fornecedor 156;Produto 995;Categoria 1;Subcategoria C1.1
NW$(<G,)*_,_Q\O:RZ0$`);Fornecedor 19;Produto 996;Categoria 1;Subcategoria C1.1
"N;NK96%>L'E>NP8M967:C#";Fornecedor 167;Produto 997;Categoria 5;Subcategoria C5.3
K(:P8A4L6*<\^ZFXA55R'(;Fornecedor 25;Produto 998;Categoria 1;Subcategoria C1.1
H]@[U>\#.RLEI#?I+WRC3,;Fornecedor 25;Produto 999;Categoria 1;Subcategoria C1.1
N5[)_Y\>/[0H1/:+P:O12#;Fornecedor 19;Produto 1000;Categoria 1;Subcategoria C1.1
"J4\""!PGV\=L;7&JTZ%BE1)";Fornecedor 94;Produto 1001;Categoria 2;Subcategoria C2.2
"HC6'.U;T0.0%'($-.XD!6(";Fornecedor 19;Produto 1002;Categoria 1;Subcategoria C1.1
"N;V]Q735?MN>N""L1-VNI[0";Fornecedor 168;Produto 1003;Categoria 5;Subcategoria C5.3
"HCF\`""H<-(P%'TWF#WQ=!,";Fornecedor 19;Produto 1004;Categoria 1;Subcategoria C1.1
"H\0!5&\GO%&=6\PK""\3*%$";Fornecedor 19;Produto 1005;Categoria 1;Subcategoria C1.1
"H\`<D#@Y)ZR=6@7TI["")L#";Fornecedor 19;Produto 1006;Categoria 1;Subcategoria C1.1
"H\@4#^G<^B,=68*C;\DKG/";Fornecedor 19;Produto 1007;Categoria 1;Subcategoria C1.1
"J0;@W$B7GC/;NJD67Z""A,'";Fornecedor 26;Produto 1008;Categoria 2;Subcategoria C2.2
K@XQ1\?E4@S\T:S=_\-$+);Fornecedor 14;Produto 1009;Categoria 1;Subcategoria C1.1
K@`#J]M<'&]\T(@Y+=V4\&;Fornecedor 14;Produto 1010;Categoria 1;Subcategoria C1.1
"K""-LBRIP8P&<I[%20S""`#/";Fornecedor 14;Produto 1011;Categoria 1;Subcategoria C1.1
"K""=_0J5EG--<I7?)IS3!=/";Fornecedor 14;Produto 1012;Categoria 1;Subcategoria C1.1
"H$0+**K""MEEI*\DO%>&M:)";Fornecedor 20;Produto 1013;Categoria 1;Subcategoria C1.1
H$8=B+YY?=8I*J1+2^N]+';Fornecedor 20;Produto 1014;Categoria 1;Subcategoria C1.1
H%CO&J7(BX9E[ZIE2.Q,4%;Fornecedor 19;Produto 1015;Categoria 1;Subcategoria C1.1
"K!-%P15))AFG,>==(""H&!*";Fornecedor 169;Produto 1016;Categoria 1;Subcategoria C1.1
H%[4-C1TC[IE[$PXWNJ>>#;Fornecedor 19;Produto 1017;Categoria 1;Subcategoria C1.1
H%#GED?K6ASE[R<4$/3O/!;Fornecedor 19;Produto 1018;Categoria 1;Subcategoria C1.1
"FUN[XC124@[,5-;LWATT?(";Fornecedor 170;Produto 1019;Categoria 7;Subcategoria C7.1
K@@[(XU_[N6\T`2H]=87N';Fornecedor 14;Produto 1020;Categoria 1;Subcategoria C1.1
"KDA5Q=#""&2-\=<8&AIW;S)";Fornecedor 25;Produto 1021;Categoria 1;Subcategoria C1.1
"HGWI7@A3F(M%P;\9C$F(-+";Fornecedor 19;Produto 1022;Categoria 1;Subcategoria C1.1
H`ANKCU>(&#=_S/!_'$0C&;Fornecedor 19;Produto 1023;Categoria 1;Subcategoria C1.1
"H$0<,5;\#F;I*,_1B<""(M,";Fornecedor 13;Produto 1024;Categoria 1;Subcategoria C1.1
"H&\;T""@E^61)W7SFEU;]4,";Fornecedor 163;Produto 1025;Categoria 1;Subcategoria C1.1
N9)>\:ZEH#-?F!I7JPT^?/;Fornecedor 19;Produto 1026;Categoria 1;Subcategoria C1.1
"N=BNM$R-+8@?/W.K/;)0X'";Fornecedor 19;Produto 1027;Categoria 1;Subcategoria C1.1
N=J1(1P^4^??/U5IXYM[[(;Fornecedor 19;Produto 1028;Categoria 1;Subcategoria C1.1
"KZ""FYE`T1$0<76.Z\[;F(-";Fornecedor 19;Produto 1029;Categoria 1;Subcategoria C1.1
"H]`R49$G"";&EI[18]W4F%-";Fornecedor 19;Produto 1030;Categoria 1;Subcategoria C1.1
"C68]`5;_IFHB@JHK^,D.!$";Fornecedor 110;Produto 1031;Categoria 7;Subcategoria C7.1
"H:TTK.DEX/I]AMQ;EEV=D+";Fornecedor 19;Produto 1032;Categoria 1;Subcategoria C1.1
"H:\&$0R<KUR]A;>WQ%?N5)";Fornecedor 19;Produto 1033;Categoria 1;Subcategoria C1.1
KZ*G/<>RM[,<7$[5)<$WY*;Fornecedor 19;Produto 1034;Categoria 1;Subcategoria C1.1
"H]8Z?H>&RZOEIE,P;5&NT!";Fornecedor 19;Produto 1035;Categoria 1;Subcategoria C1.1
"HB6""@JG`NMR]SL)IZ[2D\.";Fornecedor 161;Produto 1036;Categoria 1;Subcategoria C1.1
H*86!T#WW1R]]T50R6`9/0;Fornecedor 19;Produto 1037;Categoria 1;Subcategoria C1.1
"H$[^<-M&K:6=H9;R'T<FR&";Fornecedor 19;Produto 1038;Categoria 1;Subcategoria C1.1
H*`?XO91?@5]]:U:PW*MR.;Fornecedor 19;Produto 1039;Categoria 1;Subcategoria C1.1
N506LVZ:1&@?]CJWO#ZE>.;Fornecedor 19;Produto 1040;Categoria 1;Subcategoria C1.1
N!K<#`NLJMU?PQV4I'XGE&;Fornecedor 19;Produto 1041;Categoria 1;Subcategoria C1.1
C60-MJM[DOAB@\[/RL[]/&;Fornecedor 110;Produto 1042;Categoria 7;Subcategoria C7.1
C6([4I?$R)8B@./TE,3-H#;Fornecedor 110;Produto 1043;Categoria 7;Subcategoria C7.1
PDQ?@)B7H&LM)&'/E4!-$/;Fornecedor 170;Produto 1044;Categoria 7;Subcategoria C7.1
K#YW>@J?(OK'Y)&W$8Y1$%;Fornecedor 169;Produto 1045;Categoria 1;Subcategoria C1.1
H?=_]0<IY0C%>:K*W,NMX(;Fornecedor 19;Produto 1046;Categoria 1;Subcategoria C1.1
"K][79T;2P@IGCF^',VW`B'";Fornecedor 19;Produto 1047;Categoria 1;Subcategoria C1.1
"KE%/5*VY""KHGML1MLO)BY)";Fornecedor 169;Produto 1048;Categoria 1;Subcategoria C1.1
KEM8,&,4JY+GMB+:'/00O+;Fornecedor 169;Produto 1049;Categoria 1;Subcategoria C1.1
KF=*,943].,<*4`T9!>M&-;Fornecedor 25;Produto 1050;Categoria 1;Subcategoria C1.1
J^J6IJ&R6W\[=XG:4R*WG);Fornecedor 93;Produto 1051;Categoria 2;Subcategoria C2.2
"H$;8`=5=-RR=HQ""FRQV^2)";Fornecedor 19;Produto 1052;Categoria 1;Subcategoria C1.1
HK0I&_H!RNS%9!(+LP^^20;Fornecedor 19;Produto 1053;Categoria 1;Subcategoria C1.1
H?]V<+D,NY\%>2>YH-00T$;Fornecedor 19;Produto 1054;Categoria 1;Subcategoria C1.1
H(4/.WDN-OI=1/!&M>Q74*;Fornecedor 19;Produto 1055;Categoria 1;Subcategoria C1.1
"HL,(QD5EP*?=R-;ST-78Z&";Fornecedor 19;Produto 1056;Categoria 1;Subcategoria C1.1
"N=R2>'.\PCS?/3HBH;:Q:#";Fornecedor 19;Produto 1057;Categoria 1;Subcategoria C1.1
"HMLF""`QOT""9E%!]*S'#.T""";Fornecedor 19;Produto 1058;Categoria 1;Subcategoria C1.1
H/!A3V[ZX2L%ZA/_#^WIC-;Fornecedor 19;Produto 1059;Categoria 1;Subcategoria C1.1
"K""5/]^GAB6&<IY,0Y1G+^$";Fornecedor 14;Produto 1060;Categoria 1;Subcategoria C1.1
"J<&)J\0R#*C;IKA,.](?#0";Fornecedor 23;Produto 1061;Categoria 2;Subcategoria C2.2
KF5:XMF/X%<<*VM[I?Q7Q-;Fornecedor 25;Produto 1062;Categoria 1;Subcategoria C1.1
K(2-^46[,V%\^\?ZXVP&$';Fornecedor 25;Produto 1063;Categoria 1;Subcategoria C1.1
"H!B5>$*&85CE2?D'O""2H8.";Fornecedor 19;Produto 1064;Categoria 1;Subcategoria C1.1
"J<F`(W85XR\;ISN=<\F<1/";Fornecedor 23;Produto 1065;Categoria 2;Subcategoria C2.2
"K3EIWRV""8*I'=.A7TH$<I(";Fornecedor 19;Produto 1066;Categoria 1;Subcategoria C1.1
"N_!VT.FSOT`(8;XF+F-0%%";Fornecedor 156;Produto 1067;Categoria 1;Subcategoria C1.1
KYR\:8P2*8?GZLFPX(L&_*;Fornecedor 19;Produto 1068;Categoria 1;Subcategoria C1.1
"H%S3WLSV'$ME[6#=K.""NV0";Fornecedor 19;Produto 1069;Categoria 1;Subcategoria C1.1
"H!2QM!N7R)0E2#+06""!'V""";Fornecedor 19;Produto 1070;Categoria 1;Subcategoria C1.1
"H!""-]^1I,^\E277V@#TJ*/";Fornecedor 19;Produto 1071;Categoria 1;Subcategoria C1.1
JVPCN5)K>H,[+7B&O]:FN0;Fornecedor 97;Produto 1072;Categoria 2;Subcategoria C2.2
"J8UY.)W']L,;`;;#GS^`$+";Fornecedor 27;Produto 1073;Categoria 2;Subcategoria C2.2
H>B`'JI/&!_)MELG/]\?)+;Fornecedor 112;Produto 1074;Categoria 1;Subcategoria C1.1
"H>"":KZ1FH8;)M]3;ZZ6XI-";Fornecedor 112;Produto 1075;Categoria 1;Subcategoria C1.1
GB4FSVS)9Y4</#/&$GT^M0;Fornecedor 13;Produto 1076;Categoria 1;Subcategoria C1.1
A*-5T:+-]S$]QF=SZ@68\.;Fornecedor 19;Produto 1077;Categoria 1;Subcategoria C1.1
N:2FYPF4?6QHKTX2DPK`C';Fornecedor 19;Produto 1078;Categoria 1;Subcategoria C1.1
N:*VE%Y0:?JHK6F9T._J.(;Fornecedor 19;Produto 1079;Categoria 1;Subcategoria C1.1
H`&?)C/)P<EIARRU5R^WM$;Fornecedor 112;Produto 1080;Categoria 1;Subcategoria C1.1
H`F6H=7LD%_IAJED'S@Z?%;Fornecedor 112;Produto 1081;Categoria 1;Subcategoria C1.1
"H`>$0<)UQ?UIA\X([2X)X""";Fornecedor 112;Produto 1082;Categoria 1;Subcategoria C1.1
GD8+B=R>5M:\[8)NL@'&@.;Fornecedor 13;Produto 1083;Categoria 1;Subcategoria C1.1
K/QXA]H+&>K^?)EGGG+@C%;Fornecedor 156;Produto 1084;Categoria 1;Subcategoria C1.1
"JYX0""0J?YLQS?32U),'8F/";Fornecedor 19;Produto 1085;Categoria 1;Subcategoria C1.1
"KQ-6-`P'44^>4X8\]Z@""I$";Fornecedor 156;Produto 1086;Categoria 1;Subcategoria C1.1
"D=816@JNHOGG/O;E\A_T@(";Fornecedor 13;Produto 1087;Categoria 1;Subcategoria C1.1
"D=@CNAXE;5QG/=(!)""H%2&";Fornecedor 13;Produto 1088;Categoria 1;Subcategoria C1.1
D_$@K$^K74^'$*:*6ZQ'(.;Fornecedor 13;Produto 1089;Categoria 1;Subcategoria C1.1
D_LIB`3&_0X'$`3WP9XU]/;Fornecedor 13;Produto 1090;Categoria 1;Subcategoria C1.1
"D<H[Q[4Y"".>>J0KV_/#(J&";Fornecedor 163;Produto 1091;Categoria 1;Subcategoria C1.1
"D^L`/D2<*D1^>%*1;'K'N-";Fornecedor 163;Produto 1092;Categoria 1;Subcategoria C1.1
D^4*'@HVQRT^>[#^UFQUC/;Fornecedor 163;Produto 1093;Categoria 1;Subcategoria C1.1
"KU&-;9`841U>]57<XG;[S0";Fornecedor 156;Produto 1094;Categoria 1;Subcategoria C1.1
"KU.?S:.0'W^>]#$X$($L;#";Fornecedor 156;Produto 1095;Categoria 1;Subcategoria C1.1
DAI^L]CE!PDGX6@8<OS?L';Fornecedor 13;Produto 1096;Categoria 1;Subcategoria C1.1
DA1(DYY_H^'GX,:%W.Z-B);Fornecedor 13;Produto 1097;Categoria 1;Subcategoria C1.1
APJ9!B0>0>5=/!(_>$7.&+;Fornecedor 19;Produto 1098;Categoria 1;Subcategoria C1.1
"K7;'L/*D8A(^QVI0)>07C+";Fornecedor 156;Produto 1099;Categoria 1;Subcategoria C1.1
"J=A'Y0?;D9MS`5'PQW3MA-";Fornecedor 156;Produto 1100;Categoria 1;Subcategoria C1.1
J=I912M27_VS`#T+^7\]2+;Fornecedor 156;Produto 1101;Categoria 1;Subcategoria C1.1
"DAQ_""T!C=5XGX$-TH/<P=%";Fornecedor 13;Produto 1102;Categoria 1;Subcategoria C1.1
K7SLR($0:D8^Q`OCN^)IM);Fornecedor 156;Produto 1103;Categoria 1;Subcategoria C1.1
"K7;8N:Z=OA^^Q&$SE<,RU.";Fornecedor 156;Produto 1104;Categoria 1;Subcategoria C1.1
KY_4K]_CK.B>FS5\R464U!;Fornecedor 156;Produto 1105;Categoria 1;Subcategoria C1.1
KYOPZZCU%#/>F7\$:4%S2&;Fornecedor 156;Produto 1106;Categoria 1;Subcategoria C1.1
"D#6>$MG<'#('M13""O$>HX#";Fornecedor 13;Produto 1107;Categoria 1;Subcategoria C1.1
D#>P<NU3ZH1'M__=[D&YI!;Fornecedor 13;Produto 1108;Categoria 1;Subcategoria C1.1
D#.,LK9E4=^'M3,$&FY<^-;Fornecedor 13;Produto 1109;Categoria 1;Subcategoria C1.1
"IJ*;*@]0WL$>[[>`M+L+?$";Fornecedor 164;Produto 1110;Categoria 1;Subcategoria C1.1
"D#F3WZS$$]G'M]&<D#KDM""";Fornecedor 13;Produto 1111;Categoria 1;Subcategoria C1.1
DER[OOO85GQGAPLTH9W/U*;Fornecedor 13;Produto 1112;Categoria 1;Subcategoria C1.1
"N(:;5@MQRRA(;,""J&)MH)(";Fornecedor 156;Produto 1113;Categoria 1;Subcategoria C1.1
"GT,@5\\RNN7\?;K,%0W;_'";Fornecedor 13;Produto 1114;Categoria 1;Subcategoria C1.1
G6A:FR&^R^J<4,8CR$H2!&;Fornecedor 13;Produto 1115;Categoria 1;Subcategoria C1.1
"N,;U]%[S\58($H'(J4,M.*";Fornecedor 156;Produto 1116;Categoria 1;Subcategoria C1.1
B:&[(8X19Q$4I$MY5WMLK0;Fornecedor 164;Produto 1117;Categoria 1;Subcategoria C1.1
"F[W&)]>L7>*;(DGL)*RU""/";Fornecedor 165;Produto 1118;Categoria 1;Subcategoria C1.1
"N,[L<`""7Q^Q($@ZV;5NO`*";Fornecedor 19;Produto 1119;Categoria 1;Subcategoria C1.1
G6!2%M.AGG$<4$+2D%*U\!;Fornecedor 13;Produto 1120;Categoria 1;Subcategoria C1.1
G6YAQ!A=B>4<4FX8TC=_=';Fornecedor 13;Produto 1121;Categoria 1;Subcategoria C1.1
GXEP&FT:1#K\(11@JZ+M70;Fornecedor 13;Produto 1122;Categoria 1;Subcategoria C1.1
"GXUEYS`"".]*\(]$Z?Y8I,/";Fornecedor 13;Produto 1123;Categoria 1;Subcategoria C1.1
"D'W10C=USKQ'6UEQ@/;J+%";Fornecedor 165;Produto 1124;Categoria 1;Subcategoria C1.1
"K]X<[A_N"",/>/AN^)`,()&";Fornecedor 156;Produto 1125;Categoria 1;Subcategoria C1.1
"K_D/JP4%""L]^[,78&6>S5,";Fornecedor 80;Produto 1126;Categoria 1;Subcategoria C1.1
DKGG8$0[,AG'W%3#<>8Z)/;Fornecedor 80;Produto 1127;Categoria 1;Subcategoria C1.1
DK/Q/`E5TO*'WKR-:_B-M-;Fornecedor 80;Produto 1128;Categoria 1;Subcategoria C1.1
NR(O]:,M,,RHANEM#W9?-%;Fornecedor 156;Produto 1129;Categoria 1;Subcategoria C1.1
"KA9P76VYCDT>PE<[(-UQ`""";Fornecedor 80;Produto 1130;Categoria 1;Subcategoria C1.1
"G\F*O+""=;FA\Q<\;Q'O6*/";Fornecedor 13;Produto 1131;Categoria 1;Subcategoria C1.1
"B""0R$N2YK[#4S*`>VP_-""#";Fornecedor 5;Produto 1132;Categoria 1;Subcategoria C1.1
"G\.4F'8W""U$\Q2V(,GU$`0";Fornecedor 13;Produto 1133;Categoria 1;Subcategoria C1.1
G\^1Z:<\*&+\Q&WS/E@>Y#;Fornecedor 13;Produto 1134;Categoria 1;Subcategoria C1.1
G>SRG`]PL0K<F?\62<W<D*;Fornecedor 13;Produto 1135;Categoria 1;Subcategoria C1.1
"H6@,W>.+RZ1);^[-EDZ1;%";Fornecedor 5;Produto 1136;Categoria 1;Subcategoria C1.1
"A""+_>Y/5[^4]??X47+<T?'";Fornecedor 19;Produto 1137;Categoria 1;Subcategoria C1.1
"B""HY/]L8;;M4STZV4.QUZ""";Fornecedor 5;Produto 1138;Categoria 1;Subcategoria C1.1
"AD'4IV?T]=!=4V$V""A7^$$";Fornecedor 19;Produto 1139;Categoria 1;Subcategoria C1.1
